seq_id	seq_name	common_name_selection_status	common_taxonomy	common_rank	matched_sequence	similarity_percentage
61875_29	OTU13543	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/11463101	97.6
61875_73	OTU17190	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/11463101	95.8
61875_78	OTU18088	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Byssocorticiaceae;g__Athelopsis	6	https://app.plutof.ut.ee/sequence/view/10828180	100.0
61875_13	OTU3075	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/11481338	92.1
61875_36	OTU14097	case-3	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis	6	https://app.plutof.ut.ee/sequence/view/12251374	99.0
61875_33	OTU13861	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae	5	https://app.plutof.ut.ee/sequence/view/11418567	96.6
61875_84	OTU18018	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes	3	https://app.plutof.ut.ee/sequence/view/39890	96.1
61875_76	OTU17267	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes	3	https://app.plutof.ut.ee/sequence/view/7920210	100.0
61875_56	OTU15390	case-5	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Sarcosomataceae;g__Pseudoplectania	6	https://app.plutof.ut.ee/sequence/view/450249	99.4
61875_34	OTU14019	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes	3	https://app.plutof.ut.ee/sequence/view/732763	98.6
61875_52	OTU15622	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes	3	https://app.plutof.ut.ee/sequence/view/2541779	100.0
61875_91	OTU18540	case-5	k__Fungi;p__Ascomycota;c__Eurotiomycetes	3	https://app.plutof.ut.ee/sequence/view/6755530	98.2
61875_40	OTU14549	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	4	https://app.plutof.ut.ee/sequence/view/396665	83.7
61875_89	OTU18232	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/7460786	97.6
61875_47	OTU7777	case-1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__Agaricus_bisporus	7	https://app.plutof.ut.ee/sequence/view/2941331	100.0
61875_55	OTU15480	case-3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	6	https://app.plutof.ut.ee/sequence/view/908737	100.0
61875_48	OTU15094	case-1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_podzolica	7	https://app.plutof.ut.ee/sequence/view/30834	100.0
61875_93	OTU18390	case-5	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum	6	https://app.plutof.ut.ee/sequence/view/2720663	100.0
61875_32	OTU13942	case-5	k__Fungi;p__Ascomycota;c__Lecanoromycetes	3	https://app.plutof.ut.ee/sequence/view/8913268	88.9
61875_65	OTU16382	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	4	https://app.plutof.ut.ee/sequence/view/9614672	85.5
61875_82	OTU17654	case-5	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	4	https://app.plutof.ut.ee/sequence/view/4519633	100.0
61875_20	OTU6193	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes	3	https://app.plutof.ut.ee/sequence/view/17000100	90.9
61875_60	OTU16075	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes	3	https://app.plutof.ut.ee/sequence/view/9025770	95.9
61875_41	OTU14705	case-3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta	6	https://app.plutof.ut.ee/sequence/view/8531912	100.0
61875_63	OTU16304	case-1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Camposporium;s__Camposporium_appendiculatum	7	https://app.plutof.ut.ee/sequence/view/2008377	100.0
61875_87	OTU18164	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/11356486	100.0
61875_43	OTU14860	case-5	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Chloridium	6	https://app.plutof.ut.ee/sequence/view/1857526	100.0
61875_17	OTU5420	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/2074839	100.0
61875_51	OTU15691	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes	3	https://app.plutof.ut.ee/sequence/view/7602744	100.0
61875_15	OTU7778	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/430221	100.0
61875_45	OTU15017	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/2404473	100.0
61875_10	OTU1546	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/7592761	98.0
61875_14	OTU3872	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Mollisia	6	https://app.plutof.ut.ee/sequence/view/2358236	95.9
61875_16	OTU4629	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7091562	99.3
61875_25	OTU11790	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/43843	98.6
61875_37	OTU14391	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7218562	100.0
61875_23	OTU12598	case-3	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales;f__Leotiales_fam_Incertae_sedis;g__Alatospora	6	https://app.plutof.ut.ee/sequence/view/145850	100.0
61875_50	OTU15323	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Pezicula	6	https://app.plutof.ut.ee/sequence/view/2774721	98.0
61875_46	OTU14935	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae	5	https://app.plutof.ut.ee/sequence/view/7895168	100.0
61875_6	OTU17413	case-3	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola	6	https://app.plutof.ut.ee/sequence/view/430149	100.0
61875_75	OTU539	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Mollisia	6	https://app.plutof.ut.ee/sequence/view/2358236	98.6
61875_70	OTU16960	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7204349	98.6
61875_71	OTU17039	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7203327	99.3
61875_85	OTU17872	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae	5	https://app.plutof.ut.ee/sequence/view/7895168	98.6
61875_74	OTU17335	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7202921	100.0
61875_30	OTU13704	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Mollisia	6	https://app.plutof.ut.ee/sequence/view/2358236	99.3
61875_99	OTU18693	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/43808	100.0
61875_94	OTU618	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7218570	100.0
61875_35	OTU14163	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes	3	https://app.plutof.ut.ee/sequence/view/8662778	85.8
61875_27	OTU13373	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/2953590	100.0
61875_22	OTU10155	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/2924073	100.0
61875_42	OTU14780	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Discinellaceae;g__Pezoloma	6	https://app.plutof.ut.ee/sequence/view/717584	100.0
61875_58	OTU15856	case-3	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Pezicula	6	https://app.plutof.ut.ee/sequence/view/2774721	100.0
61875_72	OTU17118	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Mollisia	6	https://app.plutof.ut.ee/sequence/view/289117	100.0
61875_57	OTU16896	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/7875156	100.0
61875_62	OTU16529	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7088210	100.0
61875_18	OTU8548	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/4531707	98.6
61875_7	OTU16671	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Mollisia	6	https://app.plutof.ut.ee/sequence/view/2358236	100.0
61875_19	OTU6960	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Lachnaceae;g__Lachnum	6	https://app.plutof.ut.ee/sequence/view/289081	100.0
61875_31	OTU13779	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Lachnaceae;g__Lachnum	6	https://app.plutof.ut.ee/sequence/view/16587072	100.0
61875_86	OTU17798	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/2953613	92.7
61875_28	OTU13616	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/760220	96.6
61875_9	OTU2	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/8817959	86.2
61875_66	OTU16607	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/312914	100.0
61875_81	OTU17723	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Xenochalara	6	https://app.plutof.ut.ee/sequence/view/312911	97.2
61875_11	OTU781	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/760220	97.2
61875_26	OTU13455	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha	6	https://app.plutof.ut.ee/sequence/view/1852768	98.6
61875_79	OTU3	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/7902213	94.5
61875_54	OTU15772	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/3117817	85.4
61875_38	OTU14623	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha	6	https://app.plutof.ut.ee/sequence/view/2477352	97.2
61875_77	OTU17414	case-5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae	5	https://app.plutof.ut.ee/sequence/view/9893469	98.6
61875_67	OTU16672	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/8805295	96.5
61875_53	OTU15543	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron	6	https://app.plutof.ut.ee/sequence/view/31929	100.0
61875_24	OTU10958	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/11129081	100.0
61875_68	OTU16744	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/2475480	100.0
61875_39	OTU14470	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/11131173	97.2
61875_92	OTU17489	case-3	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Obeliospora	6	https://app.plutof.ut.ee/sequence/view/6698193	100.0
61875_96	OTU18845	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/6769434	100.0
61875_100	OTU18768	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	4	https://app.plutof.ut.ee/sequence/view/3985216	97.1
61875_64	OTU16453	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	4	https://app.plutof.ut.ee/sequence/view/3985216	96.6
