seq_id	seq_name	common_name_selection_status	common_taxonomy	common_rank	matched_sequence	similarity_percentage
61876_65	OTU15941	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332679	99.1
61876_61	OTU16018	case-5	k__Viridiplantae;p__Anthophyta;c__Monocotyledonae	3	https://app.plutof.ut.ee/sequence/view/1151662	100.0
61876_97	OTU73	case-5	k__Viridiplantae;p__Anthophyta;c__Monocotyledonae	3	https://app.plutof.ut.ee/sequence/view/1151812	99.1
61876_5	OTU15940	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332679	99.1
61876_28	OTU13557	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/11463101	97.6
61876_73	OTU16826	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/11461785	89.1
61876_81	OTU17948	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Byssocorticiaceae;g__Athelopsis	6	https://app.plutof.ut.ee/sequence/view/10828180	100.0
61876_76	OTU17198	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/11463101	95.8
61876_13	OTU3068	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/11481338	92.1
61876_45	OTU14336	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/11463101	96.7
61876_36	OTU14116	case-3	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis	6	https://app.plutof.ut.ee/sequence/view/12251374	99.0
61876_33	OTU13879	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae	5	https://app.plutof.ut.ee/sequence/view/11418567	96.6
61876_79	OTU17353	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes	3	https://app.plutof.ut.ee/sequence/view/7920210	100.0
61876_86	OTU18095	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes	3	https://app.plutof.ut.ee/sequence/view/39890	96.1
61876_34	OTU14042	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes	3	https://app.plutof.ut.ee/sequence/view/732763	98.6
61876_59	OTU15424	case-5	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Sarcosomataceae;g__Pseudoplectania	6	https://app.plutof.ut.ee/sequence/view/450249	99.4
61876_94	OTU18547	case-5	k__Fungi;p__Ascomycota;c__Eurotiomycetes	3	https://app.plutof.ut.ee/sequence/view/6755530	98.2
61876_53	OTU15639	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes	3	https://app.plutof.ut.ee/sequence/view/2541779	100.0
61876_41	OTU14573	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	4	https://app.plutof.ut.ee/sequence/view/396665	83.7
61876_91	OTU18253	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/7460786	97.6
61876_48	OTU7686	case-1	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__Agaricus_bisporus	7	https://app.plutof.ut.ee/sequence/view/2941331	100.0
61876_50	OTU15267	case-1	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_podzolica	7	https://app.plutof.ut.ee/sequence/view/30834	100.0
61876_58	OTU15492	case-3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	6	https://app.plutof.ut.ee/sequence/view/908737	100.0
61876_32	OTU13957	case-5	k__Fungi;p__Ascomycota;c__Lecanoromycetes	3	https://app.plutof.ut.ee/sequence/view/8913268	88.9
61876_95	OTU18393	case-5	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum	6	https://app.plutof.ut.ee/sequence/view/2720663	100.0
61876_22	OTU6161	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes	3	https://app.plutof.ut.ee/sequence/view/17000100	90.9
61876_84	OTU17659	case-5	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	4	https://app.plutof.ut.ee/sequence/view/4519633	100.0
61876_68	OTU16384	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	4	https://app.plutof.ut.ee/sequence/view/9614672	85.5
61876_62	OTU16087	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes	3	https://app.plutof.ut.ee/sequence/view/9025770	95.9
61876_66	OTU16310	case-1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Camposporium;s__Camposporium_appendiculatum	7	https://app.plutof.ut.ee/sequence/view/2008377	100.0
61876_90	OTU18172	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/11356486	100.0
61876_44	OTU14875	case-5	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Chloridium	6	https://app.plutof.ut.ee/sequence/view/1857526	100.0
61876_42	OTU14724	case-3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta	6	https://app.plutof.ut.ee/sequence/view/8531912	100.0
61876_46	OTU15039	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/2404473	100.0
61876_17	OTU5381	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/2074839	100.0
61876_54	OTU15706	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes	3	https://app.plutof.ut.ee/sequence/view/7602744	100.0
61876_15	OTU7687	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/430221	100.0
61876_10	OTU1564	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/7592761	98.0
61876_14	OTU3851	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Mollisia	6	https://app.plutof.ut.ee/sequence/view/2358236	95.9
61876_100	OTU18696	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/43808	100.0
61876_16	OTU4601	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7091562	99.3
61876_37	OTU14415	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7218562	100.0
61876_25	OTU11607	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/43843	98.6
61876_47	OTU14954	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae	5	https://app.plutof.ut.ee/sequence/view/7895168	100.0
61876_21	OTU12371	case-3	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales;f__Leotiales_fam_Incertae_sedis;g__Alatospora	6	https://app.plutof.ut.ee/sequence/view/145850	100.0
61876_52	OTU15352	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Pezicula	6	https://app.plutof.ut.ee/sequence/view/2774721	98.0
61876_74	OTU16979	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7204349	98.6
61876_78	OTU559	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Mollisia	6	https://app.plutof.ut.ee/sequence/view/2358236	98.6
61876_75	OTU17121	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7203327	99.3
61876_6	OTU17426	case-3	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola	6	https://app.plutof.ut.ee/sequence/view/430149	100.0
61876_77	OTU17270	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7202921	100.0
61876_87	OTU17880	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae	5	https://app.plutof.ut.ee/sequence/view/7895168	98.6
61876_30	OTU13715	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Mollisia	6	https://app.plutof.ut.ee/sequence/view/2358236	99.3
61876_96	OTU643	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7218570	100.0
61876_27	OTU13193	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/2953590	100.0
61876_23	OTU10026	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/2924073	100.0
61876_60	OTU15857	case-3	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Pezicula	6	https://app.plutof.ut.ee/sequence/view/2774721	100.0
61876_35	OTU14261	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes	3	https://app.plutof.ut.ee/sequence/view/8662778	85.8
61876_72	OTU17050	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Mollisia	6	https://app.plutof.ut.ee/sequence/view/289117	100.0
61876_7	OTU16681	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Mollisiaceae;g__Mollisia	6	https://app.plutof.ut.ee/sequence/view/2358236	100.0
61876_57	OTU16906	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/7875156	100.0
61876_43	OTU14797	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Discinellaceae;g__Pezoloma	6	https://app.plutof.ut.ee/sequence/view/717584	100.0
61876_18	OTU8455	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/4531707	98.6
61876_64	OTU16530	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/7088210	100.0
61876_19	OTU6915	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Lachnaceae;g__Lachnum	6	https://app.plutof.ut.ee/sequence/view/289081	100.0
61876_88	OTU17810	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	4	https://app.plutof.ut.ee/sequence/view/2953613	92.7
61876_31	OTU13798	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Lachnaceae;g__Lachnum	6	https://app.plutof.ut.ee/sequence/view/16587072	100.0
61876_29	OTU13634	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/760220	96.6
61876_71	OTU16610	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/312914	100.0
61876_9	OTU2	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/8817959	86.2
61876_83	OTU17742	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Xenochalara	6	https://app.plutof.ut.ee/sequence/view/312911	97.2
61876_11	OTU804	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/760220	97.2
61876_40	OTU14649	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha	6	https://app.plutof.ut.ee/sequence/view/2477352	97.2
61876_26	OTU13467	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha	6	https://app.plutof.ut.ee/sequence/view/1852768	98.6
61876_56	OTU15783	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/3117817	85.4
61876_80	OTU17427	case-5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae	5	https://app.plutof.ut.ee/sequence/view/9893469	98.6
61876_24	OTU10798	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/11129081	100.0
61876_69	OTU16682	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/2475480	100.0
61876_38	OTU14488	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/11131173	97.2
61876_55	OTU15566	case-5	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron	6	https://app.plutof.ut.ee/sequence/view/31929	100.0
61876_93	OTU17500	case-3	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Obeliospora	6	https://app.plutof.ut.ee/sequence/view/6698193	100.0
61876_70	OTU16750	case-5	k__Fungi	1	https://app.plutof.ut.ee/sequence/view/8805295	96.5
61876_98	OTU18847	case-5	k__Fungi;p__Ascomycota	2	https://app.plutof.ut.ee/sequence/view/6769434	100.0
61876_67	OTU16456	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	4	https://app.plutof.ut.ee/sequence/view/3985216	96.6
